"County","Positive†","Deaths*","Snapshot"
"Jefferson",0,0,2020-03-23
"Josephine",1,0,2020-03-23
"Klamath",1,0,2020-03-23
"Lake",0,0,2020-03-23
"Lane",4,1,2020-03-23
"Lincoln",0,0,2020-03-23
"Linn",20,1,2020-03-23
"Malheur",0,0,2020-03-23
"Marion",30,1,2020-03-23
"Morrow",0,0,2020-03-23
"Multnomah",21,1,2020-03-23
"Polk",3,0,2020-03-23
"Sherman",0,0,2020-03-23
"Tillamook",0,0,2020-03-23
"Umatilla",2,0,2020-03-23
"Union",1,0,2020-03-23
"Wallowa",0,0,2020-03-23
"Wasco",0,0,2020-03-23
"Washington",69,1,2020-03-23
"Wheeler",0,0,2020-03-23
"Yamhill",6,0,2020-03-23
"Baker",0,0,2020-03-24
"Benton",4,0,2020-03-24
"Clackamas",17,1,2020-03-24
"Clatsop",1,0,2020-03-24
"Columbia",0,0,2020-03-24
"Coos",0,0,2020-03-24
"Crook",0,0,2020-03-24
"Curry",0,0,2020-03-24
"Deschutes",10,0,2020-03-24
"Douglas",1,0,2020-03-24
"Gilliam",0,0,2020-03-24
"Grant",1,0,2020-03-24
"Harney",0,0,2020-03-24
"Hood River",1,0,2020-03-24
"Jackson",3,0,2020-03-24
"Jefferson",0,0,2020-03-24
"Josephine",1,0,2020-03-24
"Klamath",1,0,2020-03-24
"Lake",0,0,2020-03-24
"Lane",4,1,2020-03-24
"Lincoln",0,0,2020-03-24
"Linn",20,1,2020-03-24
"Malheur",0,0,2020-03-24
"Marion",32,1,2020-03-24
"Morrow",0,0,2020-03-24
"Multnomah",25,2,2020-03-24
"Polk",3,0,2020-03-24
"Sherman",0,0,2020-03-24
"Tillamook",0,0,2020-03-24
"Umatilla",2,0,2020-03-24
"Union",1,0,2020-03-24
"Wallowa",0,0,2020-03-24
"Wasco",0,0,2020-03-24
"Washington",76,2,2020-03-24
"Wheeler",0,0,2020-03-24
"Yamhill",6,0,2020-03-24
"Baker",0,0,2020-03-25
"Benton",6,0,2020-03-25
"Clackamas",21,2,2020-03-25
"Clatsop",1,0,2020-03-25
"Columbia",0,0,2020-03-25
"Coos",0,0,2020-03-25
"Crook",0,0,2020-03-25
"Curry",0,0,2020-03-25
"Deschutes",10,0,2020-03-25
"Douglas",3,0,2020-03-25
"Gilliam",0,0,2020-03-25
"Grant",1,0,2020-03-25
"Harney",0,0,2020-03-25
"Hood River",1,0,2020-03-25
"Jackson",4,0,2020-03-25
"Jefferson",0,0,2020-03-25
"Josephine",2,0,2020-03-25
"Klamath",1,0,2020-03-25
"Lake",0,0,2020-03-25
"Lane",5,1,2020-03-25
"Lincoln",1,0,2020-03-25
"Linn",25,1,2020-03-25
"Malheur",0,0,2020-03-25
"Marion",43,2,2020-03-25
"Morrow",0,0,2020-03-25
"Multnomah",33,2,2020-03-25
"Polk",3,0,2020-03-25
"Sherman",0,0,2020-03-25
"Tillamook",0,0,2020-03-25
"Umatilla",2,0,2020-03-25
"Union",1,0,2020-03-25
"Wallowa",0,0,2020-03-25
"Wasco",0,0,2020-03-25
"Washington",96,2,2020-03-25
"Wheeler",0,0,2020-03-25
"Yamhill",7,0,2020-03-25
"Baker",0,0,2020-03-26
"Benton",6,0,2020-03-26
"Clackamas",21,2,2020-03-26
"Clatsop",2,0,2020-03-26
"Columbia",0,0,2020-03-26
"Coos",0,0,2020-03-26
"Crook",0,0,2020-03-26
"Curry",0,0,2020-03-26
"Deschutes",15,0,2020-03-26
"Douglas",3,0,2020-03-26
"Gilliam",0,0,2020-03-26
"Grant",1,0,2020-03-26
"Harney",0,0,2020-03-26
"Hood River",1,0,2020-03-26
"Jackson",4,0,2020-03-26
"Jefferson",0,0,2020-03-26
"Josephine",4,0,2020-03-26
"Klamath",1,0,2020-03-26
"Lake",0,0,2020-03-26
"Lane",7,1,2020-03-26
"Lincoln",1,0,2020-03-26
"Linn",26,1,2020-03-26
"Malheur",0,0,2020-03-26
"Marion",57,2,2020-03-26
"Morrow",0,0,2020-03-26
"Multnomah",45,2,2020-03-26
"Polk",6,0,2020-03-26
"Sherman",0,0,2020-03-26
"Tillamook",1,0,2020-03-26
"Umatilla",2,0,2020-03-26
"Union",1,0,2020-03-26
"Wallowa",0,0,2020-03-26
"Wasco",1,0,2020-03-26
"Washington",104,3,2020-03-26
"Wheeler",0,0,2020-03-26
"Yamhill",7,0,2020-03-26
"Baker",0,0,2020-03-27
"Benton",5,0,2020-03-27
"Clackamas",31,2,2020-03-27
"Clatsop",2,0,2020-03-27
"Columbia",1,0,2020-03-27
"Coos",0,0,2020-03-27
"Crook",0,0,2020-03-27
"Curry",0,0,2020-03-27
"Deschutes",18,0,2020-03-27
"Douglas",4,0,2020-03-27
"Gilliam",0,0,2020-03-27
"Grant",1,0,2020-03-27
"Harney",0,0,2020-03-27
"Hood River",1,0,2020-03-27
"Jackson",6,0,2020-03-27
"Jefferson",0,0,2020-03-27
"Josephine",4,0,2020-03-27
"Klamath",2,0,2020-03-27
"Lake",0,0,2020-03-27
"Lane",9,1,2020-03-27
"Lincoln",1,0,2020-03-27
"Linn",28,1,2020-03-27
"Malheur",0,0,2020-03-27
"Marion",83,3,2020-03-27
"Morrow",1,0,2020-03-27
"Multnomah",67,2,2020-03-27
"Polk",10,0,2020-03-27
"Sherman",0,0,2020-03-27
"Tillamook",1,0,2020-03-27
"Umatilla",3,0,2020-03-27
"Union",1,0,2020-03-27
"Wallowa",0,0,2020-03-27
"Wasco",2,0,2020-03-27
"Washington",122,3,2020-03-27
"Wheeler",0,0,2020-03-27
"Yamhill",11,0,2020-03-27
"Baker",0,0,2020-03-28
"Benton",8,0,2020-03-28
"Clackamas",36,2,2020-03-28
"Clatsop",3,0,2020-03-28
"Columbia",1,0,2020-03-28
"Coos",0,0,2020-03-28
"Crook",0,0,2020-03-28
"Curry",0,0,2020-03-28
"Deschutes",20,0,2020-03-28
"Douglas",4,0,2020-03-28
"Gilliam",0,0,2020-03-28
"Grant",1,0,2020-03-28
"Harney",0,0,2020-03-28
"Hood River",1,0,2020-03-28
"Jackson",8,0,2020-03-28
"Jefferson",0,0,2020-03-28
"Josephine",5,0,2020-03-28
"Klamath",2,0,2020-03-28
"Lake",0,0,2020-03-28
"Lane",9,1,2020-03-28
"Lincoln",1,0,2020-03-28
"Linn",32,1,2020-03-28
"Malheur",0,0,2020-03-28
"Marion",94,3,2020-03-28
"Morrow",1,0,2020-03-28
"Multnomah",81,2,2020-03-28
"Polk",11,0,2020-03-28
"Sherman",0,0,2020-03-28
"Tillamook",1,0,2020-03-28
"Umatilla",4,0,2020-03-28
"Union",1,0,2020-03-28
"Wallowa",0,0,2020-03-28
"Wasco",2,0,2020-03-28
"Washington",140,3,2020-03-28
"Wheeler",0,0,2020-03-28
"Yamhill",13,1,2020-03-28
"Baker",0,0,2020-03-29
"Benton",8,0,2020-03-29
"Clackamas",39,2,2020-03-29
"Clatsop",3,0,2020-03-29
"Columbia",1,0,2020-03-29
"Coos",0,0,2020-03-29
"Crook",0,0,2020-03-29
"Curry",0,0,2020-03-29
"Deschutes",23,0,2020-03-29
"Douglas",4,0,2020-03-29
"Gilliam",0,0,2020-03-29
"Grant",1,0,2020-03-29
"Harney",0,0,2020-03-29
"Hood River",2,0,2020-03-29
"Jackson",19,0,2020-03-29
"Jefferson",0,0,2020-03-29
"Josephine",6,0,2020-03-29
"Klamath",4,0,2020-03-29
"Lake",0,0,2020-03-29
"Lane",10,1,2020-03-29
"Lincoln",1,0,2020-03-29
"Linn",36,1,2020-03-29
"Malheur",0,0,2020-03-29
"Marion",109,3,2020-03-29
"Morrow",1,0,2020-03-29
"Multnomah",91,2,2020-03-29
"Polk",13,0,2020-03-29
"Sherman",0,0,2020-03-29
"Tillamook",2,0,2020-03-29
"Umatilla",4,0,2020-03-29
"Union",1,0,2020-03-29
"Wallowa",0,0,2020-03-29
"Wasco",3,0,2020-03-29
"Washington",154,3,2020-03-29
"Wheeler",0,0,2020-03-29
"Yamhill",13,1,2020-03-29
"Baker",0,0,2020-03-30
"Benton",9,0,2020-03-30
"Clackamas",40,3,2020-03-30
"Clatsop",3,0,2020-03-30
"Columbia",1,0,2020-03-30
"Coos",0,0,2020-03-30
"Crook",0,0,2020-03-30
"Curry",0,0,2020-03-30
"Deschutes",25,0,2020-03-30
"Douglas",8,0,2020-03-30
"Gilliam",0,0,2020-03-30
"Grant",1,0,2020-03-30
"Harney",0,0,2020-03-30
"Hood River",2,0,2020-03-30
"Jackson",20,0,2020-03-30
"Jefferson",0,0,2020-03-30
"Josephine",10,0,2020-03-30
"Klamath",4,0,2020-03-30
"Lake",0,0,2020-03-30
"Lane",12,1,2020-03-30
"Lincoln",1,0,2020-03-30
"Linn",36,2,2020-03-30
"Malheur",0,0,2020-03-30
"Marion",123,3,2020-03-30
"Morrow",1,0,2020-03-30
"Multnomah",100,2,2020-03-30
"Polk",15,0,2020-03-30
"Sherman",0,0,2020-03-30
"Tillamook",3,0,2020-03-30
"Umatilla",4,0,2020-03-30
"Union",1,0,2020-03-30
"Wallowa",0,0,2020-03-30
"Wasco",5,0,2020-03-30
"Washington",168,3,2020-03-30
"Wheeler",0,0,2020-03-30
"Yamhill",14,2,2020-03-30
"Baker",0,0,2020-03-31
"Benton",12,1,2020-03-31
"Clackamas",50,3,2020-03-31
"Clatsop",3,0,2020-03-31
"Columbia",1,0,2020-03-31
"Coos",0,0,2020-03-31
"Crook",0,0,2020-03-31
"Curry",0,0,2020-03-31
"Deschutes",24,0,2020-03-31
"Douglas",9,0,2020-03-31
"Gilliam",0,0,2020-03-31
"Grant",1,0,2020-03-31
"Harney",0,0,2020-03-31
"Hood River",3,0,2020-03-31
"Jackson",21,0,2020-03-31
"Jefferson",0,0,2020-03-31
"Josephine",10,0,2020-03-31
"Klamath",5,0,2020-03-31
"Lake",0,0,2020-03-31
"Lane",16,1,2020-03-31
"Lincoln",2,0,2020-03-31
"Linn",37,2,2020-03-31
"Malheur",1,0,2020-03-31
"Marion",141,3,2020-03-31
"Morrow",1,0,2020-03-31
"Multnomah",116,2,2020-03-31
"Polk",18,0,2020-03-31
"Sherman",0,0,2020-03-31
"Tillamook",3,0,2020-03-31
"Umatilla",5,0,2020-03-31
"Union",1,0,2020-03-31
"Wallowa",1,0,2020-03-31
"Wasco",7,0,2020-03-31
"Washington",186,3,2020-03-31
"Wheeler",0,0,2020-03-31
"Yamhill",16,3,2020-03-31
"Baker",0,0,2020-04-01
"Benton",13,1,2020-04-01
"Clackamas",56,3,2020-04-01
"Clatsop",3,0,2020-04-01
"Columbia",1,0,2020-04-01
"Coos",0,0,2020-04-01
"Crook",0,0,2020-04-01
"Curry",0,0,2020-04-01
"Deschutes",27,0,2020-04-01
"Douglas",10,0,2020-04-01
"Gilliam",0,0,2020-04-01
"Grant",1,0,2020-04-01
"Harney",0,0,2020-04-01
"Hood River",2,0,2020-04-01
"Jackson",22,0,2020-04-01
"Jefferson",0,0,2020-04-01
"Josephine",10,0,2020-04-01
"Klamath",5,0,2020-04-01
"Lake",0,0,2020-04-01
"Lane",18,1,2020-04-01
"Lincoln",3,0,2020-04-01
"Linn",37,2,2020-04-01
"Malheur",1,0,2020-04-01
"Marion",151,3,2020-04-01
"Morrow",1,0,2020-04-01
"Multnomah",134,3,2020-04-01
"Polk",18,0,2020-04-01
"Sherman",0,0,2020-04-01
"Tillamook",3,0,2020-04-01
"Umatilla",5,0,2020-04-01
"Union",1,0,2020-04-01
"Wallowa",1,0,2020-04-01
"Wasco",7,0,2020-04-01
"Washington",189,3,2020-04-01
"Wheeler",0,0,2020-04-01
"Yamhill",17,3,2020-04-01
"Baker",0,0,2020-04-02
"Benton",15,1,2020-04-02
"Clackamas",61,3,2020-04-02
"Clatsop",3,0,2020-04-02
"Columbia",1,0,2020-04-02
"Coos",0,0,2020-04-02
"Crook",0,0,2020-04-02
"Curry",0,0,2020-04-02
"Deschutes",32,0,2020-04-02
"Douglas",9,0,2020-04-02
"Gilliam",0,0,2020-04-02
"Grant",1,0,2020-04-02
"Harney",0,0,2020-04-02
"Hood River",3,0,2020-04-02
"Jackson",27,0,2020-04-02
"Jefferson",0,0,2020-04-02
"Josephine",12,0,2020-04-02
"Klamath",8,0,2020-04-02
"Lake",0,0,2020-04-02
"Lane",21,1,2020-04-02
"Lincoln",4,0,2020-04-02
"Linn",37,2,2020-04-02
"Malheur",1,0,2020-04-02
"Marion",164,4,2020-04-02
"Morrow",1,0,2020-04-02
"Multnomah",160,3,2020-04-02
"Polk",18,0,2020-04-02
"Sherman",0,0,2020-04-02
"Tillamook",3,0,2020-04-02
"Umatilla",5,0,2020-04-02
"Union",3,0,2020-04-02
"Wallowa",1,0,2020-04-02
"Wasco",7,0,2020-04-02
"Washington",211,4,2020-04-02
"Wheeler",0,0,2020-04-02
"Yamhill",18,3,2020-04-02
"Baker",0,0,2020-04-03
"Benton",17,1,2020-04-03
"Clackamas",66,3,2020-04-03
"Clatsop",4,0,2020-04-03
"Columbia",1,0,2020-04-03
"Coos",0,0,2020-04-03
"Crook",1,0,2020-04-03
"Curry",0,0,2020-04-03
"Deschutes",36,0,2020-04-03
"Douglas",9,0,2020-04-03
"Gilliam",0,0,2020-04-03
"Grant",1,0,2020-04-03
"Harney",0,0,2020-04-03
"Hood River",3,0,2020-04-03
"Jackson",27,0,2020-04-03
"Jefferson",0,0,2020-04-03
"Josephine",12,0,2020-04-03
"Klamath",13,0,2020-04-03
"Lake",0,0,2020-04-03
"Lane",21,1,2020-04-03
"Lincoln",4,0,2020-04-03
"Linn",37,2,2020-04-03
"Malheur",2,0,2020-04-03
"Marion",178,4,2020-04-03
"Morrow",2,0,2020-04-03
"Multnomah",175,3,2020-04-03
"Polk",20,1,2020-04-03
"Sherman",0,0,2020-04-03
"Tillamook",3,0,2020-04-03
"Umatilla",5,0,2020-04-03
"Union",3,0,2020-04-03
"Wallowa",1,0,2020-04-03
"Wasco",7,0,2020-04-03
"Washington",228,4,2020-04-03
"Wheeler",0,0,2020-04-03
"Yamhill",23,3,2020-04-03
"Baker",0,0,2020-04-04
"Benton",19,1,2020-04-04
"Clackamas",78,3,2020-04-04
"Clatsop",4,0,2020-04-04
"Columbia",3,0,2020-04-04
"Coos",0,0,2020-04-04
"Crook",1,0,2020-04-04
"Curry",0,0,2020-04-04
"Deschutes",39,0,2020-04-04
"Douglas",11,0,2020-04-04
"Gilliam",0,0,2020-04-04
"Grant",1,0,2020-04-04
"Harney",0,0,2020-04-04
"Hood River",2,0,2020-04-04
"Jackson",33,0,2020-04-04
"Jefferson",0,0,2020-04-04
"Josephine",13,0,2020-04-04
"Klamath",14,0,2020-04-04
"Lake",0,0,2020-04-04
"Lane",24,1,2020-04-04
"Lincoln",4,0,2020-04-04
"Linn",41,2,2020-04-04
"Malheur",2,0,2020-04-04
"Marion",188,5,2020-04-04
"Morrow",2,0,2020-04-04
"Multnomah",209,6,2020-04-04
"Polk",22,1,2020-04-04
"Sherman",0,0,2020-04-04
"Tillamook",3,0,2020-04-04
"Umatilla",5,0,2020-04-04
"Union",3,0,2020-04-04
"Wallowa",1,0,2020-04-04
"Wasco",7,0,2020-04-04
"Washington",247,4,2020-04-04
"Wheeler",0,0,2020-04-04
"Yamhill",23,3,2020-04-04
"Baker",0,0,2020-04-05
"Benton",19,1,2020-04-05
"Clackamas",84,3,2020-04-05
"Clatsop",4,0,2020-04-05
"Columbia",6,0,2020-04-05
"Coos",0,0,2020-04-05
"Crook",1,0,2020-04-05
"Curry",0,0,2020-04-05
"Deschutes",39,0,2020-04-05
"Douglas",11,0,2020-04-05
"Gilliam",0,0,2020-04-05
"Grant",1,0,2020-04-05
"Harney",0,0,2020-04-05
"Hood River",2,0,2020-04-05
"Jackson",33,0,2020-04-05
"Jefferson",0,0,2020-04-05
"Josephine",13,0,2020-04-05
"Klamath",15,0,2020-04-05
"Lake",0,0,2020-04-05
"Lane",27,1,2020-04-05
"Lincoln",4,0,2020-04-05
"Linn",43,2,2020-04-05
"Malheur",2,0,2020-04-05
"Marion",198,5,2020-04-05
"Morrow",2,0,2020-04-05
"Multnomah",233,7,2020-04-05
"Polk",24,1,2020-04-05
"Sherman",1,0,2020-04-05
"Tillamook",3,0,2020-04-05
"Umatilla",7,0,2020-04-05
"Union",3,0,2020-04-05
"Wallowa",1,0,2020-04-05
"Wasco",7,0,2020-04-05
"Washington",259,4,2020-04-05
"Wheeler",0,0,2020-04-05
"Yamhill",26,3,2020-04-05
"Baker",0,0,2020-04-06
"Benton",21,1,2020-04-06
"Clackamas",90,3,2020-04-06
"Clatsop",4,0,2020-04-06
"Columbia",8,0,2020-04-06
"Coos",0,0,2020-04-06
"Crook",1,0,2020-04-06
"Curry",2,0,2020-04-06
"Deschutes",40,0,2020-04-06
"Douglas",12,0,2020-04-06
"Gilliam",0,0,2020-04-06
"Grant",1,0,2020-04-06
"Harney",0,0,2020-04-06
"Hood River",2,0,2020-04-06
"Jackson",39,0,2020-04-06
"Jefferson",0,0,2020-04-06
"Josephine",16,0,2020-04-06
"Klamath",18,0,2020-04-06
"Lake",0,0,2020-04-06
"Lane",29,1,2020-04-06
"Lincoln",4,0,2020-04-06
"Linn",44,2,2020-04-06
"Malheur",2,0,2020-04-06
"Marion",209,6,2020-04-06
"Morrow",2,0,2020-04-06
"Multnomah",243,7,2020-04-06
"Polk",26,1,2020-04-06
"Sherman",1,0,2020-04-06
"Tillamook",3,0,2020-04-06
"Umatilla",8,0,2020-04-06
"Union",3,0,2020-04-06
"Wallowa",1,0,2020-04-06
"Wasco",7,0,2020-04-06
"Washington",271,5,2020-04-06
"Wheeler",0,0,2020-04-06
"Yamhill",25,3,2020-04-06
"Baker",0,0,2020-04-07
"Benton",21,1,2020-04-07
"Clackamas",97,3,2020-04-07
"Clatsop",5,0,2020-04-07
"Columbia",8,0,2020-04-07
"Coos",0,0,2020-04-07
"Crook",1,0,2020-04-07
"Curry",2,0,2020-04-07
"Deschutes",44,0,2020-04-07
"Douglas",12,0,2020-04-07
"Gilliam",0,0,2020-04-07
"Grant",1,0,2020-04-07
"Harney",0,0,2020-04-07
"Hood River",2,0,2020-04-07
"Jackson",39,0,2020-04-07
"Jefferson",0,0,2020-04-07
"Josephine",16,0,2020-04-07
"Klamath",19,0,2020-04-07
"Lake",0,0,2020-04-07
"Lane",30,1,2020-04-07
"Lincoln",4,0,2020-04-07
"Linn",45,2,2020-04-07
"Malheur",2,0,2020-04-07
"Marion",215,9,2020-04-07
"Morrow",2,0,2020-04-07
"Multnomah",258,7,2020-04-07
"Polk",28,1,2020-04-07
"Sherman",1,0,2020-04-07
"Tillamook",3,0,2020-04-07
"Umatilla",8,0,2020-04-07
"Union",3,0,2020-04-07
"Wallowa",1,0,2020-04-07
"Wasco",7,0,2020-04-07
"Washington",282,6,2020-04-07
"Wheeler",0,0,2020-04-07
"Yamhill",25,3,2020-04-07
"Baker",0,0,2020-04-08
"Benton",21,1,2020-04-08
"Clackamas",103,3,2020-04-08
"Clatsop",5,0,2020-04-08
"Columbia",9,0,2020-04-08
"Coos",0,0,2020-04-08
"Crook",1,0,2020-04-08
"Curry",2,0,2020-04-08
"Deschutes",45,0,2020-04-08
"Douglas",12,0,2020-04-08
"Gilliam",0,0,2020-04-08
"Grant",1,0,2020-04-08
"Harney",0,0,2020-04-08
"Hood River",3,0,2020-04-08
"Jackson",40,0,2020-04-08
"Jefferson",0,0,2020-04-08
"Josephine",16,0,2020-04-08
"Klamath",19,0,2020-04-08
"Lake",0,0,2020-04-08
"Lane",31,1,2020-04-08
"Lincoln",4,0,2020-04-08
"Linn",46,2,2020-04-08
"Malheur",2,0,2020-04-08
"Marion",218,9,2020-04-08
"Morrow",3,0,2020-04-08
"Multnomah",286,10,2020-04-08
"Polk",28,1,2020-04-08
"Sherman",1,0,2020-04-08
"Tillamook",3,0,2020-04-08
"Umatilla",8,0,2020-04-08
"Union",3,0,2020-04-08
"Wallowa",2,0,2020-04-08
"Wasco",7,0,2020-04-08
"Washington",295,6,2020-04-08
"Wheeler",0,0,2020-04-08
"Yamhill",25,5,2020-04-08
"Baker",0,0,2020-04-09
"Benton",21,2,2020-04-09
"Clackamas",109,3,2020-04-09
"Clatsop",5,0,2020-04-09
"Columbia",10,0,2020-04-09
"Coos",0,0,2020-04-09
"Crook",1,0,2020-04-09
"Curry",3,0,2020-04-09
"Deschutes",50,0,2020-04-09
"Douglas",12,0,2020-04-09
"Gilliam",0,0,2020-04-09
"Grant",1,0,2020-04-09
"Harney",0,0,2020-04-09
"Hood River",3,0,2020-04-09
"Jackson",44,0,2020-04-09
"Jefferson",0,0,2020-04-09
"Josephine",16,0,2020-04-09
"Klamath",20,0,2020-04-09
"Lake",0,0,2020-04-09
"Lane",33,1,2020-04-09
"Lincoln",4,0,2020-04-09
"Linn",49,4,2020-04-09
"Malheur",2,0,2020-04-09
"Marion",235,9,2020-04-09
"Morrow",5,0,2020-04-09
"Multnomah",302,13,2020-04-09
"Polk",29,1,2020-04-09
"Sherman",1,0,2020-04-09
"Tillamook",4,0,2020-04-09
"Umatilla",11,0,2020-04-09
"Union",3,0,2020-04-09
"Wallowa",1,0,2020-04-09
"Wasco",7,0,2020-04-09
"Washington",311,6,2020-04-09
"Wheeler",0,0,2020-04-09
"Yamhill",29,5,2020-04-09
"Baker",0,0,2020-04-10
"Benton",21,2,2020-04-10
"Clackamas",116,3,2020-04-10
"Clatsop",6,0,2020-04-10
"Columbia",10,0,2020-04-10
"Coos",0,0,2020-04-10
"Crook",1,0,2020-04-10
"Curry",3,0,2020-04-10
"Deschutes",51,0,2020-04-10
"Douglas",12,0,2020-04-10
"Gilliam",0,0,2020-04-10
"Grant",1,0,2020-04-10
"Harney",0,0,2020-04-10
"Hood River",4,0,2020-04-10
"Jackson",44,0,2020-04-10
"Jefferson",0,0,2020-04-10
"Josephine",17,0,2020-04-10
"Klamath",24,0,2020-04-10
"Lake",0,0,2020-04-10
"Lane",34,1,2020-04-10
"Lincoln",4,0,2020-04-10
"Linn",49,4,2020-04-10
"Malheur",2,0,2020-04-10
"Marion",246,9,2020-04-10
"Morrow",5,0,2020-04-10
"Multnomah",317,17,2020-04-10
"Polk",29,1,2020-04-10
"Sherman",1,0,2020-04-10
"Tillamook",4,0,2020-04-10
"Umatilla",11,0,2020-04-10
"Union",3,0,2020-04-10
"Wallowa",1,0,2020-04-10
"Wasco",7,0,2020-04-10
"Washington",320,6,2020-04-10
"Wheeler",0,0,2020-04-10
"Yamhill",28,5,2020-04-10
"Baker",0,0,2020-04-11
"Benton",22,2,2020-04-11
"Clackamas",121,3,2020-04-11
"Clatsop",6,0,2020-04-11
"Columbia",10,0,2020-04-11
"Coos",1,0,2020-04-11
"Crook",1,0,2020-04-11
"Curry",3,0,2020-04-11
"Deschutes",53,0,2020-04-11
"Douglas",12,0,2020-04-11
"Gilliam",0,0,2020-04-11
"Grant",1,0,2020-04-11
"Harney",0,0,2020-04-11
"Hood River",4,0,2020-04-11
"Jackson",44,0,2020-04-11
"Jefferson",0,0,2020-04-11
"Josephine",17,1,2020-04-11
"Klamath",25,0,2020-04-11
"Lake",0,0,2020-04-11
"Lane",35,1,2020-04-11
"Lincoln",4,0,2020-04-11
"Linn",51,4,2020-04-11
"Malheur",3,0,2020-04-11
"Marion",263,9,2020-04-11
"Morrow",5,0,2020-04-11
"Multnomah",343,18,2020-04-11
"Polk",30,1,2020-04-11
"Sherman",1,0,2020-04-11
"Tillamook",4,0,2020-04-11
"Umatilla",14,0,2020-04-11
"Union",4,0,2020-04-11
"Wallowa",1,0,2020-04-11
"Wasco",9,0,2020-04-11
